ImageID,Variant,ChiSquaredToBase
img1,mirrorH,6.932826952355156e-28
img1,"trans10,10",6.326094847172545e-26
img1,scale1.2,1.6978098041274713e-06
img1,rot30,8.241970267773914e-06
img1,contrast1.3+20,1.2906474450265528
img2,"trans10,10",8.414527726461377e-30
img2,mirrorH,3.572034662634929e-28
img2,rot30,4.011675217384444e-08
img2,scale1.2,0.0012151895580092278
img2,contrast1.3+20,2.826794422615537
img3,"trans10,10",1.7978999968089038e-31
img3,mirrorH,2.2643707051348066e-25
img3,rot30,1.0142315863452002e-07
img3,scale1.2,2.494733075240408e-05
img3,contrast1.3+20,2.7174383576050385
img4,mirrorH,4.864325522923068e-28
img4,scale1.2,2.5597748110958953e-05
img4,"trans10,10",0.0005780407262530574
img4,rot30,0.08342238996818502
img4,contrast1.3+20,1.8448814693009188
